case_label,index,y_true,y_pred,error,abs_error,top_positive_drivers,top_negative_drivers,operational_interpretation
low_error,2017-09-08 13:00:00,1.65,1.6521370663949475,-0.0021370663949475954,0.0021370663949475954,Ore Pulp pH_roll_mean_6 (0.0118); Ore Pulp Flow_roll_std_6 (0.0083); Flotation Column 04 Air Flow_lag_12 (0.0066); Ore Pulp pH_roll_mean_3 (0.0047); Ore Pulp Flow_roll_mean_6 (0.0046),% Silica Concentrate_lag_1 (-0.6003); % Silica Concentrate_lag_3 (-0.0315); month (-0.0175); Flotation Column 02 Level_roll_std_6 (-0.0052); Flotation Column 03 Air Flow_roll_mean_12 (-0.0043),"For the low_error case, the model links the positive SHAP drivers with higher predicted silica and the negative SHAP drivers with lower predicted silica under the learned operating pattern."
high_error,2017-08-18 06:00:00,5.27,1.5508199338624324,3.719180066137567,3.719180066137567,Flotation Column 02 Level_roll_std_12 (0.0130); Flotation Column 04 Level_roll_std_6 (0.0109); Flotation Column 05 Level_lag_12 (0.0103); Ore Pulp Density (0.0100); Flotation Column 07 Level_lag_12 (0.0074),% Silica Concentrate_lag_1 (-0.7029); % Silica Concentrate_lag_3 (-0.1128); month (-0.0131); % Silica Feed_roll_std_12 (-0.0076); Ore Pulp Density_lag_1 (-0.0073),"For the high_error case, the model links the positive SHAP drivers with higher predicted silica and the negative SHAP drivers with lower predicted silica under the learned operating pattern."
representative,2017-08-19 12:00:00,2.02,2.1397516984330838,-0.11975169843308375,0.11975169843308375,Ore Pulp Flow_lag_12 (0.0116); Flotation Column 04 Level_roll_mean_6 (0.0106); % Silica Concentrate_lag_3 (0.0104); Flotation Column 04 Level (0.0101); Ore Pulp Flow_roll_std_6 (0.0070),month (-0.0748); % Silica Concentrate_lag_1 (-0.0480); Ore Pulp pH_lag_3 (-0.0108); Flotation Column 03 Air Flow_roll_mean_12 (-0.0107); Flotation Column 01 Air Flow_roll_mean_12 (-0.0076),"For the representative case, the model links the positive SHAP drivers with higher predicted silica and the negative SHAP drivers with lower predicted silica under the learned operating pattern."
