base_case_id,scenario_name,modified_features,base_prediction,scenario_prediction,delta_prediction,delta_prediction_pct,actual_value,absolute_error_base,scenario_type,interpretation,within_training_range,range_warning
median_quality_case,Process drift warning scenario,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1589, ""new_value"": 9.0589, ""change"": ""-0.100"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 365.7194, ""new_value"": 356.5764, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 2565.1385, ""new_value"": 2501.01, ""change"": ""-2.5%"", ""mode"": ""pct""}, {""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.34, ""new_value"": 2.54, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 4.18, ""new_value"": 4.38, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2164,2.2442,0.0278,1.26,3.07,0.8536,combined_package,"Under the learned model behavior, Process drift warning scenario is associated with a scenario in which the model predicts higher silica by 0.0278. This is not a causal or operational recommendation.",True,
high_silica_case,Amina Flow +5%,"[{""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 689.6773, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Amina Flow +5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Amina Flow -5%,"[{""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 623.9938, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Amina Flow -5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Starch Flow -5%,"[{""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3099.5631, ""change"": ""-5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Starch Flow -5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Starch Flow +5%,"[{""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3425.8329, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Starch Flow +5% is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Ore Pulp pH +0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.3668, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Ore Pulp pH +0.2 is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,Ore Pulp pH -0.2,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 8.9668, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,manual_operational,"Under the learned model behavior, Ore Pulp pH -0.2 is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
high_silica_case,recent lab silica trend +0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.39, ""new_value"": 2.59, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 3.09, ""new_value"": 3.29, ""change"": ""+0.200"", ""mode"": ""abs_delta""}]",2.2382,2.3917,0.1535,6.86,5.53,3.2918,lab_trend_feature,"Under the learned model behavior, recent lab silica trend +0.2 pp is associated with a recent-lab-pattern stress test where the model predicts higher silica by 0.1535. This is not a causal or operational recommendation.",True,
high_silica_case,recent lab silica trend -0.2 pp,"[{""feature"": ""% Silica Concentrate_lag_1"", ""old_value"": 2.39, ""new_value"": 2.19, ""change"": ""-0.200"", ""mode"": ""abs_delta""}, {""feature"": ""% Silica Concentrate_lag_3"", ""old_value"": 3.09, ""new_value"": 2.89, ""change"": ""-0.200"", ""mode"": ""abs_delta""}]",2.2382,2.2147,-0.0235,-1.05,5.53,3.2918,lab_trend_feature,"Under the learned model behavior, recent lab silica trend -0.2 pp is associated with a recent-lab-pattern stress test where the model predicts lower silica by 0.0235. This is not a causal or operational recommendation.",True,
high_silica_case,Lower predicted silica package,"[{""feature"": ""Ore Pulp pH"", ""old_value"": 9.1668, ""new_value"": 9.3668, ""change"": ""+0.200"", ""mode"": ""abs_delta""}, {""feature"": ""Amina Flow"", ""old_value"": 656.8355, ""new_value"": 689.6773, ""change"": ""+5.0%"", ""mode"": ""pct""}, {""feature"": ""Starch Flow"", ""old_value"": 3262.698, ""new_value"": 3425.8329, ""change"": ""+5.0%"", ""mode"": ""pct""}]",2.2382,2.2382,0.0,0.0,5.53,3.2918,combined_package,"Under the learned model behavior, Lower predicted silica package is associated with a scenario in which the model predicts higher silica by 0.0000. This is not a causal or operational recommendation.",True,
